arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
38.00,7.92,512.00,0.00,100.00,10
24.00,4.64,32768.00,0.00,100.00,10
34.00,7.92,512.00,0.00,100.00,10
34.00,30.00,9.00,90.00,10.00,10
40.00,4.64,32768.00,0.00,100.00,10
38.00,30.00,6.00,90.00,10.00,10
40.00,30.00,15.00,70.00,30.00,10
40.00,5.65,4096.00,0.00,100.00,10
34.00,5.65,4096.00,0.00,100.00,10
38.00,30.00,18.00,60.00,40.00,10
38.00,5.65,4096.00,0.00,100.00,10
40.00,7.92,512.00,0.00,100.00,10
40.00,30.00,12.00,70.00,30.00,10
34.00,4.64,32768.00,0.00,100.00,10
40.00,30.00,6.00,90.00,10.00,10
38.00,30.00,9.00,90.00,10.00,10
34.00,4.07,262144.00,0.00,100.00,10
36.00,5.65,4096.00,0.00,100.00,10
40.00,4.07,262144.00,0.00,100.00,10
36.00,4.07,262144.00,0.00,100.00,10
36.00,16.77,64.00,90.00,10.00,10
36.00,30.00,18.00,70.00,30.00,10
38.00,4.64,32768.00,0.00,100.00,10
36.00,30.00,6.00,90.00,10.00,10
38.00,16.77,64.00,90.00,10.00,10
36.00,30.00,12.00,90.00,10.00,10
36.00,30.00,15.00,80.00,20.00,10
40.00,16.77,64.00,90.00,10.00,10
40.00,30.00,9.00,90.00,10.00,10
32.00,16.77,64.00,90.00,10.00,10
38.00,4.07,262144.00,0.00,100.00,10
24.00,30.00,9.00,90.00,10.00,10
36.00,30.00,9.00,90.00,10.00,10
38.00,30.00,12.00,90.00,10.00,10
36.00,7.92,512.00,0.00,100.00,10
40.00,30.00,18.00,80.00,20.00,10
38.00,30.00,15.00,90.00,10.00,10
36.00,4.64,32768.00,0.00,100.00,10
