arrival_rate,bp_parameter,c,RMLF_L2_Norm/FCFS_L2_Norm,RDYNAMIC_L2_Norm/FCFS_L2_Norm,RDYNAMIC_L2_Norm/SETF_L2_Norm,RDYNAMIC_L2_Norm/RR_L2_Norm,RDYNAMIC_L2_Norm/RMLF_L2_Norm
34,"{'L': 5.649, 'H': 4096}",256,0.4539067283648271,0.4594114024017515,1.0038496652619515,0.0034563841140931766,1.012127324168017
34,"{'L': 4.639, 'H': 32768}",256,0.1652609604287328,0.16618665455881856,0.9496277442408297,0.0039844365761219575,1.0056014083887945
34,"{'L': 4.073, 'H': 262144}",256,0.1331000938019875,0.13158931425896236,0.8309240368036487,0.0063466805315614775,0.988649297683646
36,"{'L': 16.772, 'H': 64}",256,2.366442879923105,1.0425546863443573,0.36575728197574126,0.000623025906898718,0.4405577228123224
36,"{'L': 7.918, 'H': 512}",256,1.0444952315381908,0.963923050480848,0.8816515610226258,0.001464135961063534,0.9228601733885496
36,"{'L': 5.649, 'H': 4096}",256,0.5399844969582718,0.4861241297552185,0.8230988403309605,0.002711971263642846,0.9002557156613786
36,"{'L': 4.639, 'H': 32768}",256,0.1284739187292091,0.12832967075441343,0.998519799610259,0.004120213837935666,0.9988772197795281
36,"{'L': 4.073, 'H': 262144}",256,0.25081419837781743,0.23094983816785025,0.7873337279985214,0.002806091475668434,0.9208004955921825
38,"{'L': 16.772, 'H': 64}",256,2.2997873030592753,1.0530088554529817,0.37477756310666566,0.0005350723678476736,0.4578722797765795
38,"{'L': 7.918, 'H': 512}",256,1.0576178028602181,0.988772759875648,0.9074716667223008,0.0012632488684961782,0.9349055558649015
38,"{'L': 5.649, 'H': 4096}",256,0.39774357127892146,0.4061748831487073,1.0246180032127612,0.0020804516496956975,1.0211978583152845
38,"{'L': 4.639, 'H': 32768}",256,0.13602768651999364,0.13806060298090725,0.9945549182222837,0.011405172738727343,1.0149448727161496
38,"{'L': 4.073, 'H': 262144}",256,0.05305518469081502,0.050807164655986954,1.0135122360595075,0.011407945517676212,0.9576286455710473
40,"{'L': 16.772, 'H': 64}",256,2.225724800027245,1.0627903793638296,0.41544823401484826,0.0004524504485326446,0.4775030495013669
40,"{'L': 7.918, 'H': 512}",256,1.0327484188890057,1.050561594496094,0.977957273004401,0.0011536214048023675,1.017248320385957
40,"{'L': 5.649, 'H': 4096}",256,0.3275526848494836,0.33274093625325774,0.9946777893624167,0.0014844616063911858,1.0158394409319473
40,"{'L': 4.639, 'H': 32768}",256,0.2274334960269666,0.23138033394755814,1.015916141537098,0.0018884810811607223,1.0173538110680211
40,"{'L': 4.073, 'H': 262144}",256,0.13765563510674664,0.14414447290247567,1.0450738210372672,0.003983994557576165,1.047138192277397
