arrival_time,job_size
21288,31
21310,42
21322,10
21352,11
21416,35
21512,9
21520,24
21522,21
21543,18
21555,13
21556,21
21561,9
21565,18
21583,7
21595,6
21596,6
21605,33
21630,16
21632,92
21667,7
21677,15
21697,102
21806,8
21825,12
21835,25
21911,20
21921,5
21934,5
21938,66
22064,12
22081,7
22091,8
22092,9
22093,17
22100,11
22136,17
22145,21
22183,34
22214,23
22229,30
22230,41
22291,31
22299,10
22366,15
22372,36
22384,219
22407,8
22482,6
22497,9
22533,110
22534,18
22545,26
22561,13
22566,9
22577,22
22594,17
22624,25
22646,7
22670,18
22679,7
22691,6
22738,8
22763,10
22794,10
22825,6
22875,12
22893,5
22920,10
22942,20
22943,17
22999,24
23005,41
23070,8
23076,12
23081,10
23129,35
23134,26
23137,9
23154,46
23158,5
23183,8
23193,25
23194,52
23210,7
23212,12
23274,5
23338,10
23344,16
23370,7
23379,12
23396,8
23399,8
23413,5
23477,19
23483,22
23503,5
23512,16
23553,59
23609,8
23624,5
23645,5
23670,6
23832,6
23840,6
23879,28
23890,53
23964,32
23988,20
24045,37
24063,20
24082,22
24094,40
24103,31
24209,18
24242,41
24373,23
24376,18
24398,44
24404,51
24481,49
24622,29
24643,22
24687,35
24762,54
24772,25
24780,37
24785,53
24794,16
24830,10
24897,18
24916,25
24988,18
25153,21
25192,54
25208,26
25231,31
25312,12
25313,52
25335,18
25360,11
25422,19
25464,19
25477,9
25515,11
25559,7
25592,7
25599,5
25600,5
25679,27
25683,22
25707,5
25723,7
25732,6
25733,6
25810,18
25827,8
25862,6
26043,10
26055,7
26110,26
26155,20
26172,18
26213,10
26300,12
26333,13
26359,20
26412,10
26433,8
26460,17
26538,17
26597,23
26608,9
26616,31
26623,18
26667,50
26674,28
26677,18
26683,9
26710,13
26729,9
26812,11
26874,181
26902,109
26922,24
26929,10
26938,7
26946,19
26973,9
26975,47
26985,17
27001,62
27022,33
27023,23
27108,52
27136,54
27139,154
27143,48
27165,9
27177,12
27178,75
27216,48
27221,18
27298,56
27301,37
27342,35
27373,6
27404,3324
27435,6
27456,13
27459,16
27602,11
27606,16
27652,14
27656,13
27659,13
27671,6
27677,6
27696,7
27698,15
27733,10
27736,61
27737,20
27761,18
27773,39
27825,43
27830,53
27853,12
28026,13
28073,15
28118,14
28273,11
28277,9
28310,16
28370,21
28416,35
28452,48
28462,28
28484,14
28489,20
28564,48
28570,24
28574,42
28594,9
28596,10
28601,26
28626,21
28631,10
28641,97
28642,6
28740,129
28743,8
28757,7
28795,40
28824,6
28920,21
28934,15
28950,41
28953,37
28962,31
28974,41
29020,22
29027,22
29028,17
29050,8
29096,20
29104,9
29109,9
29139,28
29238,9
29241,20
29294,13
29311,7
29394,27
29406,28
29430,11
29481,10
29486,39
29496,81
29522,21
29534,11
29562,6
29564,10
29573,25
29587,24
29625,24
29679,9
29761,6
29814,9
29834,6
29918,31
29962,25
29964,58
29979,9
30009,11
30017,7
30018,13
30068,35
30070,9
30077,8
30078,9
30101,6
30105,9
30113,7
30155,9
30192,21
30199,12
30224,27
30243,12
30267,10
30286,13
30293,6
30294,15
30363,46
30367,10
30425,35
30440,11
30482,20
30489,6
30540,8
30557,6
30560,9
30573,6
30602,18
30614,18
30633,11
30634,10
30643,6
30744,66
30746,13
30887,9
30983,11
31036,85
31061,10
31078,8
31103,7
31104,14
31116,63
31136,30
31157,28
31179,33
31380,24
31408,18
31456,89
31525,12
31541,9
31651,15
31665,6
31713,91
31753,8
31758,9
31805,9
31848,6
31881,88
31925,8
31942,6
31945,8
31961,11
32001,8
32058,5
32092,9
32094,11
32150,22
32195,7
32206,24
32210,9
32218,6
32305,121
32356,9
32381,10
32391,57
32403,52
32418,27
32426,7
32463,6
32488,26
32495,5
32499,9
32530,11
32572,7
32598,9
32613,18
32683,180
32697,9
32701,52
32723,37
32814,20
32855,10
32872,16
32931,5
33010,9
33020,11
33048,52
33075,7
33078,10
33092,10
33136,17
33205,7
33231,5
33287,10
33316,12
33361,29
33376,7
33383,12
33387,7
33389,7
33394,5
33412,5
33436,6
33475,61
33477,135
33534,10
33568,22
33602,64
33681,26
33684,17
33705,21
33731,52
33763,13
33794,20
33797,31
33847,59
33927,17
33982,27
34019,7
34049,18
34052,205
34094,5
34096,25
34120,46
34147,36
34165,17
34182,12
34189,41
34273,11
34278,13
34325,26
34350,9
34365,28
34494,27
34520,61
34532,9
34533,7
34562,9
34575,14
34582,5
34613,16
34622,14
34649,6
34653,7
34701,18
34719,8
34769,7
34782,10
34785,9
34788,5
34799,6
34817,7
34838,48
34867,21
34892,13
34947,6
34969,13
34979,13
34982,6
35025,5
35030,5
35031,220
35062,13
35088,1238
35091,20
35158,8
35178,31
35250,6
35310,9
35313,11
35352,58
35355,11
35378,29
35412,6
35466,12
35467,8
35471,20
35537,10
35543,19
35548,20
35584,19
35587,12
35631,27
35764,20
35780,8
35801,10
35809,34
35841,13
35860,12
35939,26
35960,24
35985,12
35999,37
36037,27
36051,13
36065,14
36085,45
36104,15
36106,8
36121,18
36146,30
36156,20
36181,6
36190,7
36197,89
36198,7
36296,14
36328,8
36432,7
36462,5
36468,20
36546,58
36559,7
36618,27
36630,5
36644,6
36705,23
36824,9
36843,8
36855,7
36990,797
37011,6
37055,21
37081,1123
37366,36
37382,6
37413,5
37423,8
37434,5
37497,7
37499,26
37503,16
37508,11
37565,7
37603,13
37661,22
37700,11
37710,8
37714,8
37733,6
37790,162
37829,8
37911,64
37925,80
37960,145
37970,6
37971,5
38036,22
38064,7
38066,37
38068,332
38071,18
38088,12
38137,6
38153,8
38192,6
38195,9
38199,33
38210,11
38254,21
38280,115
38363,11
38405,42
38430,32
38443,25
38461,97
38481,26
38511,72
38541,38
38559,18
38619,32
38644,10
38653,10
38689,22
38696,46
38701,9
38712,9
38732,6
38765,7
38771,13
38779,17
38821,9
38834,100
38909,5
38915,59
38938,7
38987,12
38993,12
38996,9
38999,40
39034,6
39046,8
39047,10
39053,5
39060,6
39082,7
39103,7
39107,9
39122,7
39157,8
39190,6
39194,6
39237,11
39334,60
39348,12
39369,20
39381,10
39398,14
39399,17
39480,74
39481,9
39557,55
39569,9
39615,25
39642,14
39661,14
39664,13
39756,13
39789,9
39790,79
39800,96
39850,19
39854,42
39855,6
39864,21
39895,10
39933,21
39981,5
39982,5
40093,6
40096,5
40098,9
40113,9
40135,7
40222,14
40231,8
40241,28
40264,10
40279,38
40285,9
40291,6
40326,11
40397,14
40399,10
40403,12
40405,6
40418,8
40424,9
40473,21
40543,9
40575,28
40577,14
40580,25
40615,11
40616,12
40629,6
40636,12
40645,10
40665,6
40697,6
40751,7
40799,6
40863,6
40904,7
40928,60
40977,15
40997,12
41065,5
41116,22
41148,6
41152,50
41183,22
41193,8
41233,7
41284,9
41350,16
41411,19
41444,9
41467,6
41501,7
41531,13
41552,9
41605,7
41627,7
41628,15
41635,9
41640,10
41647,8
41653,521
41752,29
41827,17
41864,18
41874,8
41878,6
41925,8
41931,6
41933,5
41982,23
41990,14
41991,10
41993,15
42015,8
42019,55
42029,25
42059,32
42069,44
42072,28
42081,14
42139,44
42163,25
42186,14
42217,12
42278,12
42300,14
42308,10
42453,7
42538,21
42556,21
42579,16
42598,46
42615,26
42630,15
42642,9
42766,7
42787,6
42881,39
42979,9
43004,9
43054,9
43094,6
43129,57
43132,73
43134,6
43135,11
43148,13
43191,8
43203,11
43248,20
43257,50
43259,58
43370,21
43378,12
43430,11
43432,7
43534,29
43586,20
43592,22
43601,24
43602,50
43623,38
43627,9
43628,25
43629,7
43705,21
43725,25
43788,41
43799,6
43898,14
43928,8
43948,16
43991,10
44049,36
44058,70
44093,8
44143,8
44146,17
44164,6
44194,17
44204,6
44262,5
44284,7
44317,6
44333,43
44410,16
44643,7
44646,6
44654,9
44663,8
44796,24
44824,6
44825,6
44841,7
44894,24
44983,23
45050,17
45068,10
45144,11
45289,8
45357,40
45392,19
45405,57
45411,10
45431,42
45439,29
45442,17
45537,21
45554,27
45559,41
45607,21
45622,22
45633,23
45637,35
45651,242
45655,31
45701,29
45800,95
45838,12
45892,11
45940,34
45955,30
45968,34
46051,11
46075,57
46113,11
46121,7
46218,12
46326,7
46429,10
46444,25
46497,9
46525,9
46529,102
46539,30
46570,36
46593,9
46649,11
46671,9
46705,9
46728,13
46729,14
46741,8
46762,9
46799,8
46832,13
46900,21
46917,24
46918,29
46925,19
46966,8
46987,20
47003,11
47046,25
47181,8
47277,9
47282,19
47300,40
47328,7
47332,6
47333,97
47397,5
47406,41
47441,12
47549,9
47594,8
47601,14
47667,15
47676,27
47703,10
47741,21
47794,8
47840,8
47871,74
47874,13
47891,22
47912,13
47921,8
47987,9
48072,59
48120,7
48156,52
48157,9
48162,34
48276,11
48289,17
48301,61
48339,52
48351,24
48418,27
48478,23
48480,21
48538,10
48546,28
48614,12
48655,51
48662,36
48689,50
48694,57
48933,20
48937,11
48989,356
49107,17
49140,40
49148,6
49194,7
49258,9
49272,44
49273,16
49283,27
49293,14
49345,9
49351,6
49385,9
49387,18
49412,8
49418,18
49441,19
49448,62
49479,9
49481,12
49554,10
49574,26
49576,28
49589,8
49680,5
49713,7
49722,19
49749,16
49754,6
49765,7
49784,12
49808,5
49846,58
49849,530
49854,43
49960,68
49965,19
49996,7
50031,15
50034,13
50045,12
50067,123
50114,5
50170,10
50201,29
50261,6
50274,6
50276,11
50313,13
50333,6
50336,22
50342,54
50346,9
50347,19
50354,20
50379,59
50393,14
50415,24
50423,10
50473,17
50483,37
50499,71
50541,14
50559,15
50600,16
50682,53
50758,7
50789,9
50796,8
50825,5
50857,5
50858,7
50859,9
50888,18
50920,7
50959,10
50960,9
50971,432
50992,6
51009,15
51123,46
51166,16
51477,22
51513,15
51532,45
51606,71
51608,6
51775,90
51782,8
51926,49
51957,37
52061,26
52088,59
52126,21
52130,43
52186,63
52191,7
52248,12
52251,12
52338,7
52373,9
52419,13
52428,9
52466,6
52550,6
52557,10
52600,9
52605,10
52616,6
52671,13
52757,8
52762,14
52875,6
52878,9
52915,25
52921,9
52932,40
52992,49
52993,12
52995,21
53014,28
53034,10
53118,18
53126,8
53139,10
53176,14
53207,8
53290,5
53325,15
53380,21
53384,7
53402,28
53412,46
53415,7
53435,5
53453,21
53475,16
53520,9
53534,57
53535,61
53661,27
53730,22
53754,22
53832,34
53935,17
53943,68
54020,15
54075,13
54119,110
54131,22
54141,7
54315,25
54316,7
54389,41
54441,74
54447,24
54577,6
54579,9
54596,7
54613,7
54617,21
54655,11
54660,9
54724,508
54725,54
54730,197
54742,39
54751,28
54787,24
54808,23
54825,13
54829,8
54893,10
54897,17
54898,11
54903,9
55001,9
55009,11
55016,8
55046,10
55104,6
55130,8
55187,10
55206,19
55229,8
55369,7
55426,79
55430,9
55442,21
55527,6
55532,10
55536,22
55544,24
55562,62
55642,25
55650,26
55713,86
55744,35
55760,44
55803,19
55817,25
55848,29
55861,41
55865,57
55885,34
55923,9
55938,9
55942,9
55983,10
55986,11
56045,7
56152,7
56163,28
56213,32
56218,17
56226,37
56228,12
56243,22
56262,13
56268,8
56304,10
56319,148
56354,6
56409,6
56444,16
56481,19
56489,52
56504,16
56529,49
56592,29
56594,17
56670,18
56690,44
56691,14
56700,61
56710,91
56711,7
56831,18
56840,14
56855,8
56872,25
56890,19
56891,9
56896,9
56910,30
56945,38
56951,22
57005,10
57034,20
57038,20
57090,29
57133,23
57171,30
57184,19
57190,18
57214,13
57268,8
57272,10
57279,6
57289,27
57333,10
57390,25
57397,60
57412,27
57424,18
57433,28
57475,66
57479,18
57486,10
57493,5
57497,9
57517,8
57594,5
57601,53
57602,9
57622,12
57687,6
57750,76
57791,59
57805,11
57852,9
57895,13
57899,18
57921,16
57949,10
57992,18
58024,18
58083,25
58102,7
58113,8
58128,7
58159,6
58174,20
58193,6
58222,6
58244,6
58245,18
58300,11
58303,25
58328,9
58354,32
58377,5
58393,5
58421,11
58494,28
58498,5
58517,12
58521,6
58558,8
58562,7
58579,175
58631,22
58691,57
58745,30
58822,9
58896,16
58910,8
58953,7
58956,9
58987,9
58991,15
59074,9
59162,7
59180,13
59219,10
59237,14
59277,8
59285,6
59415,17
59440,10
59463,6
59479,9
59516,66
59528,22
59532,9
59536,22
59537,19
59571,8
59629,10
59656,16
59688,27
59716,62
59740,6
59750,15
59776,29
59797,53
59803,49
59821,19
59919,34
59932,39
59933,17
59951,18
59978,9
60016,48
60052,84
60064,10
60077,63
60125,63
60138,17
60154,36
60179,19
60192,12
60204,20
60269,17
60331,65
60336,10
60371,12
60383,9
60509,29
60511,12
60514,20
60516,13
60561,30
60568,85
60585,16
60598,307
60607,12
60613,13
60717,6
60735,41
60767,5
60836,15
60846,35
60884,10
60914,12
60944,104
60946,21
60949,10
60979,32
61041,40
61084,29
61094,26
61095,18
61136,7
61168,29
61220,177
61230,41
61254,56
61269,9
61290,25
61304,16
61366,19
61387,9
61438,23
61515,8
61549,6
61614,13
61624,8
61654,5
61672,6
61747,12
61827,6
61854,51
61869,5
61970,5
62010,7
62052,20
62053,12
62127,12
62129,14
62145,19
62187,21
62232,41
62249,12
62272,21
62278,32
62325,59
62354,28
62375,18
62382,36
62420,10
62421,18
62517,37
62565,13
62671,19
62688,18
62732,12
62743,21
62771,20
62772,11
62774,26
62787,59
62791,10
62854,9
62947,36
62959,19
62966,96
62984,14
63014,6
63039,19
63055,8
63056,5
63086,6
63098,12
63126,6
63147,7
63192,40
63247,6
63260,10
63262,29
63263,15
63267,30
63299,31
63350,140
63366,17
63435,13
63472,17
63477,5
63483,11
63505,20
63520,29
63556,12
63576,7
63585,32
63592,7
63660,6
63661,17
63670,6
63693,6
63695,7
63750,6
63758,10
63762,5
63770,272
63819,6
63851,12
63974,8
63981,9
64011,7
64019,5
64040,13
64054,169
64098,19
64119,26
64155,11
64156,8
64179,7
64216,11
64267,28
64295,6
64298,7
64299,30
64321,12
64343,11
64373,40
64388,36
64402,19
64408,9
64434,7
64441,9
64483,14
64514,26
64529,10
64537,26
64551,30
64571,89
64581,246
64661,5
64668,6
64674,30
64676,12
64680,6
64762,5
64772,7
64815,11
64820,29
64842,23
64844,19
64874,51
64878,21
64884,18
65043,13
65070,50
65133,19
65205,59
65348,15
65360,17
65371,7
65449,5
65462,37
65511,7
65512,12
65514,16
65535,10
65545,49
65560,10
65574,10
65592,16
65628,20
65632,15
65640,8
65769,59
65806,22
65812,63
65848,9
65906,27
65920,9
65975,14
66018,13
66028,54
66043,8
66061,12
66100,10
66115,11
66120,98
66139,6
66149,55
66191,7
66227,12
66304,20
66382,12
66465,24
66493,76
66504,9
66515,14
66517,9
66521,13
66540,10
66552,15
66555,19
66596,24
66628,14
66629,25
66638,28
66639,17
66654,10
66702,55
66754,39
66766,20
66770,11
66817,22
66862,10
66886,11
66912,5
66941,5
66956,19
66979,9
66981,12
67003,5
67037,20
67065,5
67079,11
67080,8
67089,16
67093,6
67158,16
67167,6
67178,6
67192,8
67218,8
67233,12
67246,6
67267,9
67287,9
67304,28
67317,9
67373,7
67388,77
67403,32
67521,11
67596,12
67603,8
67625,5
67626,80
67648,9
67704,48
67705,32
67718,15
67767,23
67796,37
67839,45
67862,431
67891,154
67925,10
67949,37
67994,30
68002,11
68049,12
68081,89
68116,19
68141,19
68181,23
68197,21
68207,33
68233,39
68240,26
68273,19
68292,28
68294,24
68350,33
68359,7
68395,9
68408,28
68488,61
68525,52
68527,20
68596,19
68600,18
68632,45
68670,31
68671,11
68674,15
68722,6
68746,16
68755,48
68757,17
68798,34
68821,15
68836,5
68842,18
68849,39
68854,18
68969,11
68972,6
69008,8
69129,6
69135,9
69143,6
69225,6
69277,8
69283,45
69288,7
69300,8
69323,5
69343,27
69350,8
69351,8
69376,6
69417,30
69464,51
69557,19
69606,12
69648,228
69668,7
69730,6
69742,18
69801,6
69850,9
69856,6
69873,7
69923,5
69928,20
69970,7
70074,5
70082,7
70090,5
70091,10
70118,17
70135,11
70147,8
70156,7
70160,26
70187,28
70204,33
70231,23
70235,62
70247,32
70259,10
70267,17
70303,11
70361,20
70394,18
70428,9
70487,11
70516,23
70530,7
70546,11
70551,7
70567,7
70578,27
70583,21
70587,22
70634,20
70641,17
70651,19
70728,87
70737,33
70798,30
70799,61
70826,99
70849,10
70867,146
70871,11
70902,9
70907,18
70948,7
70992,7
71074,33
71132,22
71166,34
71186,20
71192,13
71197,29
71225,44
71226,31
71241,9
71281,6
71305,24
71320,7
71339,5
71400,19
71455,7
71503,24
71562,6
71703,9
71757,12
71789,5
71819,5
71840,151
71868,62
71872,48
71912,26
71913,27
71919,25
71930,13
71980,46
72018,9
72075,12
72123,14
72143,8
72197,33
72218,32
72294,26
72308,27
72314,12
72332,17
72368,17
72399,9
72409,28
72454,7
72488,41
72637,5
72654,28
72655,21
72662,5
72741,13
72763,10
72778,12
72782,9
72801,16
72813,37
72831,127
72868,8
72908,11
72929,13
73001,10
73049,19
73080,19
73116,9
73158,85
73168,12
73197,8
73208,21
73305,8
73326,13
73348,11
73365,13
73391,49
73404,23
73417,32
73484,9
73512,12
73548,6
73559,7
73580,35
73589,13
73644,10
73645,7
73651,9
73657,13
73721,11
73750,7
73846,6
73945,6
73946,6
73954,36
74052,5
74078,6
74093,5
74183,8
74212,5
74255,23
74265,8
74290,6
74291,8
74292,5
74331,8
74471,9
74513,34
74574,6
74596,16
74598,8
74641,6
74644,7
74659,7
74670,19
74750,9
74767,6
74789,14
74853,19
74886,8
74910,7
74936,12
74981,7
75068,65
75077,19
75110,9
75445,109
75458,24
75466,32
75484,13
75516,20
75521,9
75534,9
75600,7
75685,9
75700,6
75717,14
75726,10
75730,9
75734,19
75752,29
75883,78
75895,8
75903,6
75928,6
75959,8
75976,8
75986,9
76024,82
76044,31
76068,22
76138,25
76209,29
76235,20
76248,44
76299,29
76330,25
76402,17
76431,44
76432,38
76457,17
76479,220
76545,7
76562,7
76609,15
76629,20
76682,10
76687,11
76691,22
76705,7
76709,7
76743,11
76777,10
76853,7
76933,5
76945,5
76958,7
77016,18
77019,11
77021,7
77155,26
77186,11
77187,12
77207,33
77244,9
77275,29
77314,11
77365,7
77366,9
77384,34
77481,26
77508,20
77519,109
77522,20
77589,132
77590,19
77597,19
77624,10
77665,43
77700,6
77744,20
77756,432
77791,12
77794,19
77840,46
77856,15
77864,14
77882,26
77912,5
77917,6
77942,8
78059,17
78073,6
78101,28
78223,23
78356,23
78496,42
78521,8
78523,367
78551,6
78691,17
78706,31
78733,16
78770,12
78823,14
78836,22
78841,39
78901,10
78954,13
78974,48
78975,42
79024,63
79082,9
79089,10
79160,42
79166,50
79181,7
79200,12
79225,27
79257,6
79268,5
79289,11
79291,5
79334,20
79415,36
79425,11
79487,292
79534,48
79568,28
79574,42
79604,11
79622,35
79638,7
79704,11
79738,26
79746,102
79753,5
79831,7
79841,8
79848,5
79875,23
79878,20
79913,14
79940,14
79950,9
79952,8
79953,8
79963,25
80008,17
80038,6
80054,27
80079,10
80156,12
80189,6
80190,5
80253,11
80262,16
80275,33
80281,11
80299,56
80354,8
80366,14
80412,67
80417,13
80626,9
80635,151
80636,9
80645,7
80646,12
80660,8
80691,34
80693,46
80739,7
80771,12
80772,13
80778,20
80784,18
80794,35
80797,14
80819,26
80870,24
80871,11
80885,19
80887,9
80926,10
80949,14
81053,18
81086,7
81098,27
81120,11
81121,9
81151,12
81166,8
81176,9
81183,17
81218,18
81264,6
81291,5
81361,8
81414,7
81424,20
81443,6
81456,30
81507,10
81599,17
81624,6
81647,5
81654,6
81667,10
81719,5
81755,7
81770,13
81793,6
81817,5
81827,9
81845,11
81867,105
81878,7
81891,56
81984,14
82043,76
82071,21
82099,12
82103,8
82114,8
82117,35
82154,61
82169,19
82178,44
82187,22
82189,10
82230,9
82231,7
82234,46
82255,7
82305,15
82387,19
82396,10
82405,8
82415,6
82442,16
82444,13
82450,29
82468,23
82469,71
82556,8
82575,13
82619,20
82666,12
82718,7
82741,6
82750,6
82756,9
82801,7
82954,25
82963,5
82965,6
83021,8
83040,6
83062,5
83087,7
83099,10
83145,9
83161,6
83211,8
83236,6
83246,15
83269,11
83317,8
83360,32
83410,59
83433,21
83449,57
83500,20
83648,11
83730,18
83778,22
83808,29
83817,32
83828,45
83831,22
83837,19
83846,48
83869,12
83906,34
83978,17
84052,16
84082,20
84106,35
84107,13
84118,21
84156,10
84181,51
84191,15
84214,7
84226,6
84235,38
84325,31
84354,12
84385,15
84401,13
84425,8
84441,10
84445,7
84461,21
84486,10
84495,8
84517,34
84540,24
84553,36
84571,59
84573,23
84574,14
84617,9
84618,35
84629,55
84630,14
84632,50
84633,10
84644,105
84663,14
84675,16
84722,10
84727,8
84769,5
84792,5
84829,15
84830,485
84865,9
84870,9
84881,10
84913,10
84932,8
84965,18
85005,6
85057,11
85078,7
85093,7
85113,6
85120,14
85170,38
85216,7
85217,14
85246,10
85326,43
85342,12
85359,130
85404,20
85479,5
85499,54
85548,9
85565,7
85568,11
85594,12
85613,5
