arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time
32,9.8,32768,27408757.109976698,27264494.802810002,27264494.802810002,27264494.802810002,27264494.802810002,27264494.802810002,27264494.802810002
32,12.4,4096,51421087.188533105,51327987.336829595,51272512.90236761,51252038.701172195,51252038.701172195,51251369.548740804,51252038.701172195
32,18.9,512,106432868.27214882,106428554.2995622,106428554.2995622,106428554.2995622,106428554.2995622,106428554.2995622,106428554.2995622
32,56.3,64,131822844.81203261,131822844.81203261,131822844.81203261,131822844.81203261,131822844.81203261,131785931.17886432,131822844.81203261
34,8.5,262144,16683428.126664197,16148024.416554999,16139689.560153399,16139689.560153399,16139689.560153399,16139689.560153399,16139689.560153399
34,9.8,32768,24689240.7911096,24633040.578272402,24598371.125763398,24598371.125763398,24598371.125763398,24577445.2220878,24598371.125763398
34,12.4,4096,44824102.07240079,44341867.051579,44303704.878972195,44303704.878972195,44334239.5190209,44303704.878972195,44303704.878972195
34,18.9,512,98359102.0410766,98352643.5957303,98351491.7635525,98351491.7635525,98351503.1150031,98351491.7635525,98351491.7635525
34,56.3,64,122251756.2728568,122251756.2728568,122251756.2728568,122251756.2728568,122251756.2728568,122213874.21453461,122251756.2728568
36,8.5,262144,15450010.752166798,15218138.5421887,15218138.5421887,15224597.186423799,15255157.3143726,15218138.5421887,15218138.5421887
36,9.8,32768,21470253.216435403,21431096.151084498,21431096.151084498,21431096.151084498,21431096.151084498,21431096.151084498,21431096.151084498
36,12.4,4096,39619818.7247837,39248630.4193556,39238626.3047037,39238626.3047037,39238626.3047037,39238626.3047037,39238626.3047037
36,18.9,512,90393100.7219803,90380043.3654052,90379684.3176578,90379684.3176578,90379816.4820538,90379684.3176578,90379684.3176578
36,56.3,64,113175749.3447558,113175749.3447558,113175749.3447558,113175749.3447558,113175749.3447558,113137693.62660101,113175749.3447558
38,8.5,262144,12314510.3999303,12327537.9536133,12327537.9536133,12327537.9536133,12327537.9536133,12327537.9536133,12327537.9536133
38,9.8,32768,19248141.953375198,19049891.873143997,19049891.873143997,19049891.873143997,19049891.873143997,19049891.873143997,19049891.873143997
38,12.4,4096,35301074.2094011,35043061.936528996,35028473.888187304,35028473.888187304,35047763.763386704,35028473.888187304,35028473.888187304
38,18.9,512,83221194.5354286,83203146.9524925,83199376.38169602,83199376.38169602,83199611.57797949,83199376.38169602,83199376.38169602
38,56.3,64,103444317.2044596,103444317.2044596,103444317.2044596,103444317.2044596,103444317.2044596,103406308.17245668,103444317.2044596
40,8.5,262144,10182277.0922192,9954649.1976984,9954649.1976984,9954649.1976984,9954649.1976984,9954649.1976984,9954649.1976984
40,9.8,32768,17497663.7277864,17440514.3587904,17392556.690855797,17392556.690855797,17392556.690855797,17392556.690855797,17392556.690855797
40,12.4,4096,30803456.109861303,30705729.150396097,30703026.757591497,30694020.60555009,30694020.60555009,30694057.075108092,30694057.075108092
40,18.9,512,75275052.3143519,75255341.879006,75250127.83193631,75249632.2685706,75249632.2685706,75250127.83193631,75250127.83193631
40,56.3,64,94305969.0962141,94305969.0962141,94305969.0962141,94305969.0962141,94305969.0962141,94268074.6420705,94305969.0962141
