job_id,job_size,fcfs_completions,rmlf_completions,fcfs_percentage,rmlf_percentage
216,33.0,31,2,93.9,6.1
217,19.0,17,2,89.5,10.5
218,19.0,17,2,89.5,10.5
219,18.0,16,2,88.9,11.1
220,18.0,16,2,88.9,11.1
221,30.0,28,2,93.3,6.7
222,17.0,15,2,88.2,11.8
223,27.0,25,2,92.6,7.4
224,37.0,35,2,94.6,5.4
225,30.0,28,2,93.3,6.7
226,19.0,17,2,89.5,10.5
227,37.0,35,2,94.6,5.4
228,17.0,15,2,88.2,11.8
229,24.0,22,2,91.7,8.3
230,28.0,26,2,92.9,7.1
231,20.0,18,2,90.0,10.0
232,18.0,16,2,88.9,11.1
233,17.0,15,2,88.2,11.8
234,22.0,20,2,90.9,9.1
235,33.0,31,2,93.9,6.1
236,21.0,19,2,90.5,9.5
237,60.0,58,2,96.7,3.3
238,58.0,56,2,96.6,3.4
239,18.0,12,6,66.7,33.3
240,21.0,15,6,71.4,28.6
241,22.0,16,6,72.7,27.3
242,17.0,11,6,64.7,35.3
243,19.0,13,6,68.4,31.6
244,20.0,14,6,70.0,30.0
245,26.0,20,6,76.9,23.1
246,22.0,17,5,77.3,22.7
247,36.0,34,2,94.4,5.6
248,18.0,16,2,88.9,11.1
249,51.0,49,2,96.1,3.9
250,28.0,22,6,78.6,21.4
251,23.0,17,6,73.9,26.1
252,27.0,21,6,77.8,22.2
253,18.0,12,6,66.7,33.3
254,18.0,12,6,66.7,33.3
255,17.0,11,6,64.7,35.3
256,44.0,38,6,86.4,13.6
257,24.0,18,6,75.0,25.0
258,26.0,20,6,76.9,23.1
259,18.0,12,6,66.7,33.3
260,26.0,20,6,76.9,23.1
261,43.0,37,6,86.0,14.0
262,35.0,29,6,82.9,17.1
263,26.0,20,6,76.9,23.1
264,22.0,16,6,72.7,27.3
265,17.0,11,6,64.7,35.3
266,20.0,14,6,70.0,30.0
267,32.0,26,6,81.2,18.8
268,17.0,11,6,64.7,35.3
269,52.0,46,6,88.5,11.5
270,22.0,16,6,72.7,27.3
271,21.0,15,6,71.4,28.6
272,34.0,28,6,82.4,17.6
273,20.0,14,6,70.0,30.0
274,39.0,33,6,84.6,15.4
275,30.0,24,6,80.0,20.0
276,28.0,22,6,78.6,21.4
277,35.0,29,6,82.9,17.1
278,21.0,15,6,71.4,28.6
279,17.0,11,6,64.7,35.3
280,43.0,37,6,86.0,14.0
281,57.0,51,6,89.5,10.5
282,60.0,54,6,90.0,10.0
283,55.0,49,6,89.1,10.9
284,41.0,35,6,85.4,14.6
285,20.0,14,6,70.0,30.0
