arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time
32,18.9,512,89725945.9831969,89730528.54007001,89730528.54007001,89730528.54007001,89730528.54007001,89730528.54007001,89730528.54007001
32,56.3,64,131822844.81203261,131822844.81203261,131822844.81203261,131822844.81203261,131822844.81203261,131822844.81203261,131822844.81203261
34,8.5,262144,16847932.9184535,16349406.9857498,16339090.1164231,16339090.1164231,16339090.1164231,16339090.1164231,16339090.1164231
34,9.8,32768,26721200.358644202,26622712.7685785,26593920.964210503,26593920.964210503,26593920.964210503,26555210.7667611,26593920.964210503
34,12.4,4096,44874202.197016194,44724084.1363523,44709461.516449794,44709461.516449794,44734924.1228531,44709461.516449794,44709461.516449794
34,18.9,512,84793745.51001939,84797298.2346436,84805733.9041422,84805733.9041422,84812341.1818154,84805733.9041422,84805733.9041422
34,56.3,64,122251756.2728568,122251756.2728568,122251756.2728568,122251756.2728568,122251756.2728568,122251756.2728568,122251756.2728568
36,8.5,262144,15488612.099909198,15239023.5443919,15239023.5443919,15245548.4695086,15277325.879495401,15239023.5443919,15239023.5443919
36,9.8,32768,22506544.2430186,22427788.283771798,22427788.283771798,22427788.283771798,22427788.283771798,22427788.283771798,22427788.283771798
36,12.4,4096,41261877.6179448,41150499.7379159,41142642.0014921,41142642.0014921,41142642.0014921,41142642.0014921,41142642.0014921
36,18.9,512,79706069.74935469,79762588.7073746,79760578.97018531,79760578.97018531,79766832.4588882,79760578.97018531,79760578.97018531
36,56.3,64,113175749.3447558,113175749.3447558,113175749.3447558,113175749.3447558,113175749.3447558,113175749.3447558,113175749.3447558
38,8.5,262144,12315233.172632702,12328194.0178959,12328194.0178959,12328194.0178959,12328194.0178959,12328194.0178959,12328194.0178959
38,9.8,32768,19686587.568421297,19419618.809784103,19419618.809784103,19419618.809784103,19419618.809784103,19419618.809784103,19419618.809784103
38,12.4,4096,37987631.2599615,37876112.1789364,37879415.22020699,37879415.22020699,37896721.40657859,37879415.22020699,37879415.22020699
38,18.9,512,75205632.3918669,75330178.4015103,75340693.12820771,75340693.12820771,75365054.06638649,75340693.12820771,75340693.12820771
38,56.3,64,103444317.20445961,103444317.20445961,103444317.20445961,103444317.20445961,103444317.20445961,103444317.20445961,103444317.20445961
40,8.5,262144,10183408.0700258,9954963.8327474,9954963.8327474,9954963.8327474,9954963.8327474,9954963.8327474,9954963.8327474
40,9.8,32768,17604352.1157602,17534717.7787525,17475339.8092402,17475339.8092402,17475339.8092402,17475339.8092402,17475339.8092402
40,12.4,4096,34240000.6358016,34175808.9220626,34178527.081711695,34181011.1679117,34181011.1679117,34175134.019458,34175134.019458
40,18.9,512,70130119.90295531,70296458.5273096,70366969.1641313,70381260.43783799,70381260.43783799,70366969.1641313,70366969.1641313
40,56.3,64,94305969.0962141,94305969.0962141,94305969.0962141,94305969.0962141,94305969.0962141,94305969.0962141,94305969.0962141
