arrival_rate,bp_parameter,RR_ratio,SRPT_ratio,SETF_ratio,FCFS_ratio,RMLF_ratio
30,"{'L': 8.5, 'H': 262144}",0.1739352129479619,1.4828559094900726,1.1329812763461249,0.444870292172174,1.1545420997939488
30,"{'L': 32.3, 'H': 512}",0.7314464233135027,1.7317524702035652,1.0013127229491294,1.1393678928044282,1.0280346524821917
30,"{'L': 19.7, 'H': 4096}",0.5404791042244981,1.8884720890736466,0.8681408762904427,0.7277369799126437,1.1947179934657468
30,"{'L': 15.3, 'H': 32768}",0.19695806931982576,1.4422824492746091,0.9000266292034916,0.21805231603249833,1.2137386883850734
30,"{'L': 13.0, 'H': 262144}",0.1777274939536066,1.0713872688525712,0.6656264982396063,0.23359906478327133,0.9162063401756281
32,"{'L': 16.772, 'H': 64}",0.10128934718081495,0.8989240027360146,0.33465508534585825,1.072874267901936,0.4725573077070766
32,"{'L': 7.918, 'H': 512}",0.09796115192283467,1.2991213413759874,0.7588643042122296,1.091892490611606,0.8494446696527752
32,"{'L': 5.649, 'H': 4096}",0.15972418183554285,1.2852375973420402,0.7600490868867863,0.3854955984911667,1.0211913783448299
32,"{'L': 4.639, 'H': 32768}",0.041092589796673865,1.1604545114641152,1.0877729886841587,0.7482881236821665,1.1076696267630333
32,"{'L': 4.073, 'H': 262144}",0.041822817926570104,1.090609447642067,0.9928901253273588,0.6433772652004338,1.0207166595447732
32,"{'L': 56.3, 'H': 64}",0.572424187461388,0.9256775607624061,0.615640061955553,1.1204703466370858,0.5998747034866312
32,"{'L': 18.9, 'H': 512}",0.6203976170788881,1.917200975783486,1.0173702153773785,1.194570537016037,1.1139900435374241
32,"{'L': 12.4, 'H': 4096}",0.3242327491167533,2.14853938363908,1.0527885393127856,0.8435588586251511,1.2480042176378288
32,"{'L': 9.8, 'H': 32768}",0.24133919733524545,1.5264268198558122,0.9406310731989418,0.4810780382102385,1.0861793754456124
32,"{'L': 8.5, 'H': 262144}",0.0955120486945657,1.4167470426448217,0.8975488020129768,1.0743790734237602,0.9617729665734658
32,"{'L': 32.3, 'H': 512}",0.6756986186950655,1.6545263622174262,0.8036722473678868,1.1255350826654476,0.968862946300022
32,"{'L': 19.7, 'H': 4096}",0.5971392486422489,2.403464912089991,0.9991131544816283,0.9911010625421564,1.5033822411552433
32,"{'L': 15.3, 'H': 32768}",0.3123188791612026,1.2314300884831997,0.598465697953628,1.0791180620597456,0.7136625304025057
32,"{'L': 13.0, 'H': 262144}",0.3625119975004446,1.6176945310440554,0.8392255723443477,0.6955221328622049,1.0374671096707722
34,"{'L': 16.772, 'H': 64}",0.08163701760302694,1.0938470142497985,0.5683159953366397,1.1007158680747386,0.56951977669128
34,"{'L': 7.918, 'H': 512}",0.030883325712320147,1.1159456623644908,0.7882167915976126,0.9813485202229697,0.8099726685340191
34,"{'L': 5.649, 'H': 4096}",0.053565786076799446,1.3303466169894225,0.9226358126178669,1.102918853582791,0.8979300950252038
34,"{'L': 4.639, 'H': 32768}",0.10973881472907987,1.0097682942939008,1.0042569245572193,0.19790029110841303,1.0078555604820465
34,"{'L': 4.073, 'H': 262144}",0.025533194161752475,1.2580475122227082,1.1406964502721575,0.9072433583206562,1.1069832215623672
34,"{'L': 56.3, 'H': 64}",0.5448659784101526,0.9269341036057737,0.5958618833967406,1.1421393108972766,0.5985547412381421
34,"{'L': 18.9, 'H': 512}",0.5147952130355118,1.6955339723078777,0.8146793803822746,1.115660400763906,1.0151478985998796
34,"{'L': 12.4, 'H': 4096}",0.41227968880759264,1.9651865187722557,1.097027873296377,0.8143186795822851,1.2665392510300293
34,"{'L': 9.8, 'H': 32768}",0.04295376821967168,1.2540430369860172,0.7596618110707387,1.045768472285799,0.8706068443253642
34,"{'L': 8.5, 'H': 262144}",0.06680400441202533,1.0981649847709674,1.009627955664286,0.578341933097534,0.9889129007437041
34,"{'L': 32.3, 'H': 512}",0.727180284308021,1.547774249076656,0.8580398600233877,1.1191854789645495,0.9251267029939454
34,"{'L': 19.7, 'H': 4096}",0.5358224692818455,1.4821892736250972,0.7254256098263921,1.1173613725602396,0.8811725187155416
34,"{'L': 15.3, 'H': 32768}",0.31724010028208016,1.9552760957584825,1.0948354262990334,0.44927273567815573,1.4540028725151202
34,"{'L': 13.0, 'H': 262144}",0.44597333814948714,1.8831571020924183,0.9401593337250289,0.7302595063947417,1.2822487855461708
36,"{'L': 16.772, 'H': 64}",0.05768103910094019,1.0072343261677188,0.4481061535764569,1.100795297810556,0.5212537987621196
36,"{'L': 7.918, 'H': 512}",0.04419973789106867,1.15359918195555,0.6753221521434454,1.0571588100129672,0.6028515036138025
36,"{'L': 5.649, 'H': 4096}",0.12292304443884262,1.4892409818859338,1.1470499154785718,0.7033572226364848,1.0568468647060878
36,"{'L': 4.639, 'H': 32768}",0.04002385382962823,1.28367548354026,0.8545354689613376,0.7263939839125646,0.9644893444943817
36,"{'L': 4.073, 'H': 262144}",0.25868574229229746,1.06589284024524,0.5895294456132413,0.7847673949364329,1.0045467519570808
36,"{'L': 56.3, 'H': 64}",0.5460080824399314,0.8958477291226373,0.5577455313548558,1.1418540943117288,0.5834047273486819
36,"{'L': 18.9, 'H': 512}",0.42809445503973154,1.3952344526343419,0.7697178123662076,1.121006541721896,0.7940843085172907
36,"{'L': 12.4, 'H': 4096}",0.33897822026809205,1.815713341370661,1.2852589659265554,0.7086836056475299,1.4067400351189447
36,"{'L': 9.8, 'H': 32768}",0.1369186449803057,1.197455300521418,0.6448129419387723,1.0247536863995899,0.5951384582773512
36,"{'L': 8.5, 'H': 262144}",0.34910409116414104,1.6286752763543364,0.8107457284882211,0.7338584714251069,1.11160792911179
36,"{'L': 32.3, 'H': 512}",0.7122249117417847,1.5253233622100604,0.9310758661841648,1.146697313351015,0.9108852565292525
36,"{'L': 19.7, 'H': 4096}",0.5682502413004492,1.7467942442107163,0.8409735213939057,1.0915720326317353,0.9889691822366099
36,"{'L': 15.3, 'H': 32768}",0.42075963758257817,2.0934793550111173,1.4750656934865092,0.6484872872356809,1.5127227989502259
36,"{'L': 13.0, 'H': 262144}",0.3260576503953692,1.8630444803447752,1.0937728702805076,0.8695391365643824,1.1716276345229881
38,"{'L': 16.772, 'H': 64}",0.06504472684914786,0.9992940658699548,0.4621544993251658,1.0643843495470686,0.5713852956712133
38,"{'L': 7.918, 'H': 512}",0.08201939299966347,1.3399955278419642,0.8980702887195117,0.8763038595106586,0.8580617017582313
38,"{'L': 5.649, 'H': 4096}",0.1552467410730378,1.233947554820857,0.9190637468238628,0.3699658902287503,0.9245810907170834
38,"{'L': 4.639, 'H': 32768}",0.02630123313052128,1.126655726535144,0.9837741303411179,0.9036396659214941,1.0307847783890884
38,"{'L': 4.073, 'H': 262144}",0.01751037595912552,1.1724352897290056,1.0625264768860414,1.0459571415376652,1.06335791290317
38,"{'L': 56.3, 'H': 64}",0.37856656095799973,0.8644829280071481,0.5639275307894782,1.1381861061994891,0.5303459225289319
38,"{'L': 18.9, 'H': 512}",0.5376851962242025,1.7080196683361522,0.989770425437135,1.1530886780772387,1.0179794243803733
38,"{'L': 12.4, 'H': 4096}",0.3591501550897454,1.6425069579146356,1.1656417410621682,0.693233749865402,1.1816038215267795
38,"{'L': 9.8, 'H': 32768}",0.19248141007108416,1.3832402214954969,1.0266266791636862,0.4853018742595299,1.0624467598623948
38,"{'L': 8.5, 'H': 262144}",0.19961473853484535,1.4968548005889224,1.2219215968801882,0.2855594169976625,1.1805305436188798
38,"{'L': 32.3, 'H': 512}",0.6848782463698382,1.556436506624413,0.8575422990727977,1.1149205375681606,0.9521444215714413
38,"{'L': 19.7, 'H': 4096}",0.5516042228734015,1.5355512655000025,0.7540718029745475,1.1022069811503556,0.8631989753823746
38,"{'L': 15.3, 'H': 32768}",0.30915757178012226,1.8768655015710733,0.8369746391792768,0.9391113706898319,1.0400725720206194
38,"{'L': 13.0, 'H': 262144}",0.1926484755163039,1.0614062129496007,0.7432617163797495,0.22612677322286287,1.036045279849112
40,"{'L': 16.772, 'H': 64}",0.1216153332172822,0.7733944577001125,0.346936369697731,1.0443313695940897,0.38501523941124616
40,"{'L': 7.918, 'H': 512}",0.160001119924866,1.591137945691045,1.1157420044236068,0.8844633067560616,1.2370162472663948
40,"{'L': 5.649, 'H': 4096}",0.06653358905608708,1.1293947406278428,1.0698776631762772,0.7245634808389348,1.0691596141189799
40,"{'L': 4.639, 'H': 32768}",0.046498630434246735,1.0366365163331446,1.0122844154533785,0.48216832829379996,1.0225599641150664
40,"{'L': 4.073, 'H': 262144}",0.010042578194995046,1.109010662435973,0.9275252798564994,0.9964445848371957,0.8990853173727003
40,"{'L': 56.3, 'H': 64}",0.32458112195155814,0.7276932090548287,0.3818424345770696,1.0944766197806977,0.4370372781142129
40,"{'L': 18.9, 'H': 512}",0.1904891401265715,1.4893404185295924,0.6616571143542493,1.0744853117450845,0.783290516383682
40,"{'L': 12.4, 'H': 4096}",0.18827561730181036,1.499184782055878,0.9160312603121256,0.8519293833446356,0.9853410461264638
40,"{'L': 9.8, 'H': 32768}",0.20829836463583493,1.3688894374549987,0.7154027621612896,0.3579538180751527,1.0524047546094772
