L,H,bp_parms,arrival_rate,arithmetic,value
7.918,512.0,L7.918/H512,0.026,MLFQ/SRPT,1.6369110839887255
5.649,4096.0,L5.649/H4096,0.026,MLFQ/SRPT,3.0727469382278545
4.073,262144.0,L4.073/H262144,0.026,MLFQ/SRPT,43.27368717482433
16.772,64.0,L16.772/H64,0.025,MLFQ/SRPT,1.0952147678930586
7.918,512.0,L7.918/H512,0.025,MLFQ/SRPT,1.58890068612055
5.649,4096.0,L5.649/H4096,0.025,MLFQ/SRPT,2.867954536083629
4.073,262144.0,L4.073/H262144,0.025,MLFQ/SRPT,13.43737353505147
16.772,64.0,L16.772/H64,0.05,SETF/SRPT,3.776109612223149
7.918,512.0,L7.918/H512,0.05,SETF/SRPT,3.068209812388483
5.649,4096.0,L5.649/H4096,0.05,SETF/SRPT,2.91140958025416
4.073,262144.0,L4.073/H262144,0.05,SETF/SRPT,2.807224092795028
16.772,64.0,L16.772/H64,0.04545,SETF/SRPT,3.99162593592621
7.918,512.0,L7.918/H512,0.04545,SETF/SRPT,3.2012378556852195
5.649,4096.0,L5.649/H4096,0.04545,SETF/SRPT,2.911944617600023
4.073,262144.0,L4.073/H262144,0.04545,SETF/SRPT,2.6873631434515763
16.772,64.0,L16.772/H64,0.0416,SETF/SRPT,4.3082490800804045
7.918,512.0,L7.918/H512,0.0416,SETF/SRPT,3.465734539864189
5.649,4096.0,L5.649/H4096,0.0416,SETF/SRPT,3.06318327086765
4.073,262144.0,L4.073/H262144,0.0416,SETF/SRPT,2.3950204131866126
16.772,64.0,L16.772/H64,0.0385,SETF/SRPT,4.860602799172797
7.918,512.0,L7.918/H512,0.0385,SETF/SRPT,4.156294859423304
5.649,4096.0,L5.649/H4096,0.0385,SETF/SRPT,3.674633709996436
4.073,262144.0,L4.073/H262144,0.0385,SETF/SRPT,1.961502927349302
16.772,64.0,L16.772/H64,0.036,SETF/SRPT,6.01041790735063
7.918,512.0,L7.918/H512,0.036,SETF/SRPT,5.946844794732409
5.649,4096.0,L5.649/H4096,0.036,SETF/SRPT,2.635260228952874
4.073,262144.0,L4.073/H262144,0.036,SETF/SRPT,2.671595147819722
16.772,64.0,L16.772/H64,0.033,SETF/SRPT,5.273393316141843
7.918,512.0,L7.918/H512,0.033,SETF/SRPT,2.0052208745516817
5.649,4096.0,L5.649/H4096,0.033,SETF/SRPT,1.6591290232856766
4.073,262144.0,L4.073/H262144,0.033,SETF/SRPT,1.4994534309332388
16.772,64.0,L16.772/H64,0.03123,SETF/SRPT,2.537029450238628
7.918,512.0,L7.918/H512,0.03123,SETF/SRPT,1.6811659148624891
5.649,4096.0,L5.649/H4096,0.03123,SETF/SRPT,1.5291790473265716
4.073,262144.0,L4.073/H262144,0.03123,SETF/SRPT,1.3830781244016588
16.772,64.0,L16.772/H64,0.029,SETF/SRPT,1.718052787603533
7.918,512.0,L7.918/H512,0.029,SETF/SRPT,1.48317764060144
5.649,4096.0,L5.649/H4096,0.029,SETF/SRPT,1.324900806950902
4.073,262144.0,L4.073/H262144,0.029,SETF/SRPT,1.3209430016190091
16.772,64.0,L16.772/H64,0.028,SETF/SRPT,1.5672447280835988
7.918,512.0,L7.918/H512,0.028,SETF/SRPT,1.3819865929426285
5.649,4096.0,L5.649/H4096,0.028,SETF/SRPT,1.3270837618330122
4.073,262144.0,L4.073/H262144,0.028,SETF/SRPT,1.2117905254859267
16.772,64.0,L16.772/H64,0.026,SETF/SRPT,1.3529215799990846
