arrival_time,first_executed_time,job_size
18727,22273,8
18740,22281,165
18758,22446,12
18784,22458,16
18802,22474,10
18819,22484,8
18843,22492,14
18875,22506,11
18909,22517,18
18934,22535,31
18958,22566,9
18980,22575,8
18998,22583,10
19022,22593,8
19054,22601,10
19088,22611,36
19106,22647,19
19122,22666,16
19147,22682,25
19181,22707,35
19204,22742,9
19223,22751,92
19250,22843,10
19272,22853,16
19293,22869,20
19320,22889,9
19346,22898,143
19373,23041,9
19393,23050,17
19422,23067,56
19447,23123,10
19469,23133,33
19492,23166,258
19518,23424,36
19543,23460,13
19573,23473,8
19602,23481,17
19625,23498,21
19647,23519,14
19670,23533,8
19702,23541,16
19729,23557,30
19751,23587,8
19776,23595,166
19805,23761,16
19824,23777,9
19846,23786,10
19872,23796,27
19896,23823,155
19924,23978,10
19943,23988,62
19964,24050,10
19989,24060,10
20016,24070,45
20036,24115,16
20062,24131,27
20080,24158,8
20102,24166,29
20124,24195,17
20147,24212,236
20174,24448,22
20199,24470,10
20224,24480,11
20250,24491,82
20274,24573,46
20295,24619,9
20316,24628,35
20347,24663,48
20380,24711,20
20399,24731,45
20424,24776,13
20448,24789,9
20476,24798,8
20503,24806,36
20527,24842,348
20558,25190,8
20586,25198,40
20609,25238,13
20636,25251,11
20658,25262,8
20683,25270,10
20706,25280,60
20734,25340,21
20760,25361,34
20790,25395,18
20823,25413,27
20845,25440,10
20867,25450,8
20896,25458,8
20929,25466,9
20949,25475,12
20971,25487,14
20997,25501,34
21022,25535,8
21052,25543,12
21080,25555,38
21109,25593,111
21125,25704,11
21148,25715,8
21168,25723,94
21192,25817,54
21215,25871,13
21239,25884,12
21266,25896,12
21292,25908,13
21311,25921,45
21336,25966,17
21356,25983,9
21374,25992,9
21415,26001,29
21439,26030,17
21472,26047,13
21497,26060,42
21521,26102,10
21536,26112,26
21558,26138,9
21582,26147,52
21597,26199,10
21625,26209,10
21653,26219,10
21686,26229,9
21711,26238,16
21737,26254,9
21765,26263,8
21790,26271,15
21822,26286,16
21850,26302,8
21877,26310,39
21907,26349,22
21926,26371,51
21954,26422,21
21984,26443,8
22006,26451,8
22032,26459,23
22049,26482,10
22070,26492,12
22100,26504,24
22134,26528,8
22157,26536,10
22178,26546,10
22198,26556,28
22228,26584,12
22248,26596,13
22271,26609,11
22299,26620,11
22324,26631,15
22349,26646,16
22371,26662,14
22391,26676,8
22418,26684,8
22450,26692,21
22480,26713,27
22498,26740,47
22522,26787,8
22552,26795,10
22573,26805,12
22597,26817,28
22615,26845,13
22635,26858,58
22663,26916,9
22692,26925,14
22710,26939,10
22737,26949,10
22760,26959,16
22789,26975,71
22827,27046,226
22842,27272,56
22867,27328,24
22891,27352,25
22924,27377,13
22940,27390,51
22961,27441,22
22993,27463,33
23021,27496,12
23047,27508,9
23073,27517,8
23104,27525,19
23127,27544,11
23153,27555,11
23174,27566,13
23200,27579,199
23225,27778,43
23253,27821,13
23270,27834,16
23289,27850,58
23312,27908,8
23334,27916,10
23358,27926,10
23389,27936,19
23413,27955,15
23437,27970,20
23459,27990,9
23484,27999,81
23507,28080,13
23527,28093,18
23562,28111,19
23588,28130,61
23608,28191,12
23633,28203,14
23649,28217,27
23676,28244,22
23701,28266,11
23719,28277,11
23744,28288,8
23779,28296,15
23799,28311,8
23827,28319,10
23853,28329,11
23867,28340,25
23890,28365,9
23913,28374,11
23937,28385,40
23968,28425,31
23996,28456,14
24020,28470,10
24043,28480,8
24061,28488,13
24084,28501,14
24101,28515,30
24120,28545,9
24148,28554,10
24169,28564,18
24189,28582,334
24212,28916,44
24241,28960,21
24261,28981,50
24285,29031,40
24307,29071,11
24335,29082,8
24353,29090,21
24372,29111,11
24395,29122,8
24426,29130,14
24454,29144,10
24476,29154,13
24493,29167,9
24517,29176,25
24546,29201,8
24568,29209,8
24582,29217,8
24606,29225,8
24637,29233,19
24667,29252,9
24701,29261,18
24731,29279,10
24747,29289,31
24767,29320,59
24792,29379,72
24815,29451,10
24834,29461,15
24854,29476,14
24872,29490,8
24898,29498,13
24919,29511,9
24942,29520,27
24968,29547,27
24993,29574,22
25020,29596,8
25045,29604,48
25070,29652,22
25095,29674,87
25126,29761,17
25150,29778,12
25179,29790,10
25202,29800,8
25218,29808,29
25240,29837,8
25256,29845,9
25279,29854,9
25307,29863,9
25336,29872,13
25354,29885,56
25375,29941,15
25406,29956,25
25435,29981,15
25456,29996,19
25479,30015,9
25506,30024,10
25529,30034,9
25562,30043,15
25588,30058,16
25610,30074,9
25642,30083,10
25661,30093,8
25690,30101,13
25710,30114,19
25742,30133,9
25762,30142,9
25794,30151,36
25820,30187,90
25846,30277,8
25872,30285,8
25894,30293,10
25911,30303,24
25943,30327,11
25960,30338,29
25984,30367,10
26010,30377,8
26035,30385,11
26054,30396,10
26085,30406,22
26107,30428,18
26133,30446,9
26154,30455,13
26178,30468,9
26207,30477,11
26233,30488,22
26256,30510,11
26277,30521,9
26295,30530,28
26322,30558,8
26347,30566,76
26364,30642,10
26385,30652,28
26409,30680,44
26431,30724,12
26456,30736,20
26479,30756,24
26502,30780,8
26522,30788,14
26549,30802,16
26574,30818,15
26603,30833,19
26621,30852,8
26652,30860,11
26679,30871,188
26697,31059,8
26721,31067,17
26739,31084,8
26768,31092,11
26792,31103,11
26812,31114,12
26839,31126,9
26861,31135,13
26880,31148,14
26894,31162,8
26914,31170,10
26937,31180,14
26946,31194,15
26970,31209,8
26998,31217,17
27028,31234,9
27049,31243,9
27080,31252,17
27100,31269,8
27122,31277,12
27135,31289,20
27159,31309,10
27189,31319,10
27221,31329,17
27251,31346,13
27270,31359,8
27300,31367,10
27318,31377,57
27334,31434,16
27358,31450,10
27381,31460,197
27406,31657,16
27436,31673,11
27461,31684,17
27476,31701,22
27493,31723,435
27517,32158,10
27538,32168,9
27562,32177,26
27588,32203,8
27615,32211,13
27634,32224,10
27661,32234,120
27682,32354,13
27700,32367,13
27733,32380,9
27755,32389,16
27787,32405,10
27815,32415,8
27833,32423,314
27863,32737,11
27885,32748,11
27905,32759,8
27927,32767,11
27948,32778,11
27974,32789,12
28000,32801,13
28017,32814,10
28038,32824,16
28059,32840,18
28086,32858,31
28107,32889,12
28142,32901,11
28165,32912,28
28181,32940,22
28212,32962,34
28241,32996,17
28259,33013,10
28281,33023,8
28298,33031,27
28337,33058,12
28373,33070,12
28399,33082,26
28419,33108,26
28445,33134,16
28460,33150,8
28484,33158,26
28498,33184,8
28528,33192,11
28553,33203,20
28581,33223,39
28605,33262,289
28629,33551,14
28654,33565,33
28675,33598,52
28694,33650,9
28719,33659,18
28749,33677,84
28784,33761,8
28806,33769,11
28827,33780,88
28851,33868,11
28879,33879,34
28900,33913,11
28926,33924,15
28947,33939,8
28982,33947,9
29010,33956,93
29032,34049,36
29053,34085,8
29081,34093,27
29100,34120,9
29123,34129,19
29150,34148,49
29178,34197,13
29193,34210,8
29223,34218,13
29250,34231,8
29274,34239,37
29295,34276,12
29318,34288,15
29339,34303,22
29370,34325,18
29395,34343,10
29420,34353,11
29448,34364,11
29467,34375,9
29498,34384,68
29522,34452,12
29542,34464,113
29562,34577,19
29585,34596,23
29614,34619,8
29637,34627,14
29664,34641,32
29692,34673,17
29723,34690,14
29744,34704,35
29763,34739,15
29781,34754,20
29802,34774,12
29828,34786,14
29848,34800,9
29875,34809,9
29899,34818,99
29924,34917,11
29945,34928,17
29972,34945,71
29994,35016,10
30021,35026,68
30043,35094,55
30064,35149,41
30092,35190,35
30129,35225,8
30148,35233,8
30174,35241,12
30198,35253,59
30227,35312,19
30251,35331,10
30282,35341,11
30305,35352,11
30328,35363,8
30351,35371,8
30371,35379,20
30389,35399,10
