arrival_rate,bp_parameter,FCFS_Avg_Flow_Time,SRPT_Avg_Flow_Time,FCFS_L2_Norm,SRPT_L2_Norm,Dynamic_Avg_Flow_Time,Dynamic_L2_Norm,Dynamic_L2_Norm_vs_FCFS,Dynamic_L2_Norm_vs_SRPT
26,"{'L': 4.639, 'H': 32768}",73.35108930504971,30.48332418647526,585.764928721304,444.016255856423,30.48332418647526,444.016255856423,0.8623157000966328,1.0
26,"{'L': 5.649, 'H': 4096}",46.82566612341234,27.631175851544082,414.6849802751997,329.00924755090887,27.631175851544082,329.00924755090887,0.7850946125944498,1.0
26,"{'L': 7.918, 'H': 512}",147.60893719405695,26.59249841067634,1345.4619043074256,585.2957540837598,26.59249841067634,585.2957540837598,0.5580650698327118,1.0
26,"{'L': 16.772, 'H': 64}",100.8565038221047,77.87871525066927,709.5104879113152,706.8706336277191,82.11519631118774,705.4927494129073,0.9904520045572532,0.9986618346784052
28,"{'L': 4.073, 'H': 262144}",68.16553080162063,33.65403318737769,635.4839735790903,442.95905040797714,37.02921603499292,437.9791020321098,0.837189388612797,0.9862567850711209
28,"{'L': 4.639, 'H': 32768}",69.41569195870309,22.92983449198456,764.0198182895542,432.8186565470126,22.92983449198456,432.8186565470126,0.7304093847259473,1.0
28,"{'L': 5.649, 'H': 4096}",134.4792497545227,36.22379568928462,1308.624074135706,619.8185802166487,36.22379568928462,619.8185802166487,0.5924394465073337,1.0
28,"{'L': 7.918, 'H': 512}",46.221086696726125,25.527332506524143,406.211298094028,305.8838516048293,25.912830764945213,305.7618884973715,0.8137983754901673,0.9990142420095278
28,"{'L': 16.772, 'H': 64}",82.5054830090198,65.0421758305785,562.2903450965252,613.8771935691608,71.96411826564415,585.3365127476878,1.0147170547038356,0.971518233966779
30,"{'L': 4.073, 'H': 262144}",167.4291138215133,60.86000832855228,1387.384828549385,961.2811531540419,60.86000832855228,961.2811531540419,0.7433480550053727,1.0
30,"{'L': 4.639, 'H': 32768}",57.470397881230014,27.994384993169817,527.0959884752318,389.67384376194053,27.994384993169817,389.67384376194053,0.8021870471757442,1.0
30,"{'L': 5.649, 'H': 4096}",338.66801565729565,65.07652819516454,2932.7736417924675,1456.0278131174598,65.07652819516454,1456.0278131174598,0.5671310132325706,1.0
30,"{'L': 7.918, 'H': 512}",51.685119568828036,19.88684941258488,442.14396480283057,245.02739658001497,19.88684941258488,245.02739658001497,0.5534876042897553,1.0
30,"{'L': 16.772, 'H': 64}",157.4176514843983,112.57671397773737,1128.084329010708,1399.734956621861,132.6173905906996,1263.3642214221738,1.0711161887677778,0.9433632313850485
